movieId,title,tags,title2
1,Toy Story (1995),True,toy story
2,Jumanji (1995),True,jumanji
3,Grumpier Old Men (1995),True,grumpier old men
4,Waiting to Exhale (1995),True,waiting to exhale
5,Father of the Bride Part II (1995),True,father of the bride part ii
6,Heat (1995),True,heat
7,Sabrina (1995),True,sabrina
8,Tom and Huck (1995),True,tom and huck
9,Sudden Death (1995),True,sudden death
10,GoldenEye (1995),True,goldeneye
11,"American President, The (1995)",True,"american president, the"
12,Dracula: Dead and Loving It (1995),True,dracula: dead and loving it
13,Balto (1995),True,balto
14,Nixon (1995),True,nixon
15,Cutthroat Island (1995),True,cutthroat island
16,Casino (1995),True,casino
17,Sense and Sensibility (1995),True,sense and sensibility
18,Four Rooms (1995),True,four rooms
19,Ace Ventura: When Nature Calls (1995),True,ace ventura: when nature calls
20,Money Train (1995),True,money train
21,Get Shorty (1995),True,get shorty
22,Copycat (1995),True,copycat
23,Assassins (1995),True,assassins
24,Powder (1995),True,powder
25,Leaving Las Vegas (1995),True,leaving las vegas
26,Othello (1995),True,othello
27,Now and Then (1995),True,now and then
28,Persuasion (1995),True,persuasion
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",True,"city of lost children, the (cité des enfants perdus, la)"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),True,shanghai triad (yao a yao yao dao waipo qiao)
31,Dangerous Minds (1995),True,dangerous minds
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),True,twelve monkeys (a.k.a. 12 monkeys)
33,Wings of Courage (1995),True,wings of courage
34,Babe (1995),True,babe
35,Carrington (1995),True,carrington
36,Dead Man Walking (1995),True,dead man walking
37,Across the Sea of Time (1995),True,across the sea of time
38,It Takes Two (1995),True,it takes two
39,Clueless (1995),True,clueless
40,"Cry, the Beloved Country (1995)",True,"cry, the beloved country"
41,Richard III (1995),True,richard iii
42,Dead Presidents (1995),True,dead presidents
43,Restoration (1995),True,restoration
44,Mortal Kombat (1995),True,mortal kombat
45,To Die For (1995),True,to die for
46,How to Make an American Quilt (1995),True,how to make an american quilt
47,Seven (a.k.a. Se7en) (1995),True,seven (a.k.a. se7en)
48,Pocahontas (1995),True,pocahontas
49,When Night Is Falling (1995),True,when night is falling
50,"Usual Suspects, The (1995)",True,"usual suspects, the"
51,Guardian Angel (1994),False,guardian angel
